comments,cleaned_comments
goblin satu ini meresahkan 😂,goblin resah
"Dia itu Sagne raba"" punya orang lain, kebanyakan hirup Pertamax",sagne raba orang banyak hirup pertamax
Kpd KPK dg tegas kmi rakyat indonesia meminta dg tegas cek harta kekayaan bahlil/si bahlul ini,kpd kpk kmi rakyat indonesia cek harta kaya bahlilsi bahlul
Harus di paksa turun sih ni anomali bikin rusak,paksa turun anomali rusak
Kelakuan si Monyet itu emang kek tai,laku monyet tai
Ada yg ketar ketir haha musuh dalam selimut,ketar tir musuh selimut
Tandanya licik si cebol itu.. 😂,tanda licik cebol
bahlil : Ketahuan kita😅,bahlil tahu
"Lengserin aja itu si bahlil, manusia tergoblog bisa"" nya jdi menteri",lengserin bahlil manusia tergoblog jdi menteri
Penghianat negara dan prabowo,penghianat negara prabowo
Suka burung kayaknya😂😂,suka burung kayak
"Bahlil  was was  dulat dulit dg rekannya ...... 
BAHLIL   :  WADUH KITA LAGI DLM TARGET",bahlil dulat dulit rekan bahlil dlm target
"Pasti ada apa apa ini, bisa terindikasi  korupsi nih",indikasi korupsi
"Towel? Lebih kyk remes"" 🥲",towel remes
"saya rasa pak 
prabowo melihat vidio viral ini.
pecat secepat nya.",prabowo vidio viral pecat cepat
"Emg bahluL...aura wajahnya gelap penuh dg dos4""nya",emg bahlulaura wajah gelap penuh dos
Awas tikus dalam karung🙄,awas tikus karung
Bahlil penghianat,bahlil penghianat
"Pak presiden Bahlil lah pelaku utama nya, itu lihat Gimik tangan nya.. pak presiden harus cerdik dan cerdas menangani kasus mafia di dalam pemerintahan..",presiden bahlil laku utama lihat gimik tangan presiden cerdik cerdas tangan mafia perintah
Ganti itu mentri berdua gaguna,ganti tri dua gaguna
"Kadang saya heran sama presiden yang sekarang sudah sangat jelas menteri bahlul tsb gak becus jadi menteri tapi tetap di pertahankan 🤣😂🤣
Dan satu lagi yang harus di pecat yaitu kapolri nya, karena harus ada perubahan.",kadang heran presiden menteri bahlul tsb becus menteri tahan pecat kapolri ubah
Wow kaya nya hasil alam Indonesia kita😮,wow kaya hasil alam indonesia
Gak mungkin pingin ngo*okin kan??,pingin ngookin
langsung di periksa gasih???,langsung periksa gasih
🤫Bahlul!🤑 🤝 💵💰rosan👍😁,bahlul ros
Semakin keliatan kelakuan para menteri ini.,liat laku menteri
Bpk presiden kita pasti tau dan mengerti keresahan masyarakat nya bila ada bawahan yg selalu bikin kebijakkan yg bertentangan dengan masyarakat segeralah ganti,bpk presiden tau erti resah masyarakat bawah bijak tentang masyarakat segera ganti
Bahlil mukanya bahlul,bahlil muka bahlul
"Ludahin pecat langsung 
Maen belakang",ludahin pecat langsung maen
Kode tangan bahlil penuh tanda tannya ... Mengejek atau menyampaikan kode disampingnya kita ketahuan ni...,kode tangan bahlil penuh tanda tan ejek kode samping tahu
Singkirkan penghianat itu dari bangsa ini,singkir penghianat bangsa
Menyentuh sesama laki laki dibagian paha......😮 jijik,sentuh laki laki bagi paha jijik
Itu yang dicolek siapa jangan jangan jamaahnya,colek jamaah
Ya Alloh Semakin banyak orang yg Cerdas dan berspiritul Semoga ini awal Kebangkitan Indonesia 👍🙏,alloh orang cerdas berspiritul moga bangkit indonesia
Ini si prabowo gampang banget dikadalin si bahlil njir,prabowo gampang dikadalin bahlil njir
Hayooo Bahlil.. Tercyduk loe.. Siap2 loe...,hayooo bahlil tercyduk loe loe
"Yg lebih teliti itu adik ny prabowo...adik ny prabowo itu tau siapa2 sj b4jingan2 yg ad d sekitar prabowo...& d sni letak kkurngan presiden RI itu plin plan tdk tegas,, sdh tau mngalami kerugian, y hrus d tindak jgn bs ny omon2 doang, klw ad mslah lagi2 omon2 doang pnyelesaian ny",teliti adik prabowoadik prabowo tau bjingan prabowo sni letak kkurngan presiden plin plan tdk sdh tau mngalami rugi hrus tindak jgn omon doang klw mslah omon doang pnyelesaian
Selain biji emang g ada lagi yg bisa di pegang ???,biji pegang
Apa fungsi danantara? Cuma nambah pengeluaran anggaran,fungsi danantara nambah keluar anggar
"Ayo Pak, sikat koruptor.",ayo sikat koruptor
Copot mentri laulau,copot tri laulau
"trmul
😂dh mulai di .singkirkan 
ok .pa presiden",trmul singkir presiden
Apa maksut ny y kode kodean,maksut kode kode
"Bukan KERUGIAN pak WO, tp TRADISI KORUPSI di NKRImu yg menyebabkan Rakyatmu menderita n negaramu GAA BISA MAJU & MAKMUR.
Yg Rakyat inginkan, sbg PRESIDEN JGN DIAM saja & BANYAK NGOMONG. SIKAT & HUKUM.MATI HEWAN2 NAJIS para KORUPTOR bila NKRImu MAJU & RAKYATmu hiduox MAKMUR n SEJAHTERA",rugi tradisi korupsi nkrimu sebab rakyat derita negara gaa maju makmur rakyat sbg presiden jgn diam ngomong sikat hukummati hewan najis koruptor nkrimu maju rakyat hiduox makmur sejahtera
Awas pak disekitarmu banyak tikus,awas sekitar tikus
Gandeng tangannya masukin kandang buaya🐊 mantap kayanya para pejabat korup,gandeng tangan masukin kandang buaya mantap kaya jabat korup
Waduh ini bisa jd kode2 tdk mendukung pernyataan pak presiden....,kode tdk dukung nyata presiden
Tambang aja di kasihh ormass.. Penganggurann di mana2 kenapa gak lulusan pertambangan di kasihh kerjaa.. Makann tuhh ormass,tambang kasihh ormass penganggurann lulus tambang kasihh kerjaa makann tuhh ormass
"RESHUFFLE SI BAHLIL .... BBM gak jelas, ijin tambang gak jelas,... Bahlil..Bahlil jadi Ketum Golkar pun ada campur tangan penguasa saat itu....",reshuffle bahlil bbm ijin tambang bahlilbahlil tum golkar campur tangan kuasa
Hidup tambang timah ilegal 💪💪💪💪,hidup tambang timah ilegal
nama nya juga MAFIA,nama mafia
Lah.. kongkalingkong... Sekolam mulai panik,kongkalingkong kolam panik
Anjir Bahlil gay,anjir bahlil gay
Bahlil penonton grind boys,bahlil tonton grind boys
"Pucat sekali yah mukanya, apakah sedang gk enak badan",pucat muka enak badan
ko kesanya lagi ngejek ke pak prabowo ya,kesanya ngejek prabowo
matiian aja halal nyawanya tuh pak ayo gas lah pak presiden buktikan 😊,matiian halal nyawa ayo gas presiden bukti
Pak Prabowo yang terhormat mesti butuh bukti apalagi ya untuk memecat menteri 1 ini. Dah muak ngeliat muka dan kelakuannya,prabowo hormat mesti butuh bukti pecat menteri muak ngeliat muka laku
sikatttttt.....para koruptor...dan yg mambackupnya....!!!!✊✊✊🇲🇨🇲🇨🇲🇨🇲🇨🇲🇨✊✊✊,sikattttttpara koruptordan mambackupnya
Mentri mentri titipan doank y bgtu,tri tri titip doank bgtu
"Apa susahnya sih copot itu si Bahlil ? 
Toh itu mentri juga suruhan jokowi bukan pilihan pak prabowo kan ? 
Pak presiden cukup lah tinggal ganti dia sudah ngerugiin negara",susah copot bahlil tri suruh jokowi pilih prabowo presiden tinggal ganti ngerugiin negara
Mau di pecat ap mau nepal kan tu si bahlul..,pecat nepal bahlul
"Bahlil: GI mana ini bro gagal kita ini engga jdi cair.. si Bowo tau

Rosan roelani: tenang Kalam  Bahlil masih banyak cara kita merampuk uang rakyat",bahlil gagal jdi cair bowo tau ros roelani tenang kalam bahlil merampuk uang rakyat
Ndak layak jadi Menteridi Pemerintahan ini banyak yg ndak layak dr Wapres sampe di Menterinya tg kayak hanya segelintir,ndak layak ridi perintah ndak layak wapres sampe menteri gelintir
😂😂😂BONEKA AFRIKA KETAKUTAN TUH KAYAK NYA..MUDAH MUDAHAN NGANDANG TUH MASUK JERUJI BESI ABADI..🤲😁👍,boneka afrika takut nyamudah mudah ngandang masuk jeruji besi abadi
Perlu cr tau kok kayaknya mesra banget manusia itu 😂,tau kayak mesra manusia
"Waw, kira2 maksudnya apa itu😂, bisnis belakang layar kah, apa kerugian yg mereka kerjakan... hanya mereka yg tau maksd gestur tersebut...",waw maksud bisnis layar kah rugi kerja tau maksd gestur
Itu mah jelas² lagi ngeledek pak prabowo😂,mah ngeledek prabowo
Sikat abis dengan penjarakan dan sita aset para pejabat dan intitusi yg sudah merugikan negara dan rakyat,sikat abis penjara sita aset jabat intitusi rugi negara rakyat
"Bukan spontan colek tadi mau kasih tau tapi kaga enakan, sebenarnya bos kerugian negara itu lebih dari 400 triliun 😂",spontan colek kasih tau kaga enak bos rugi negara triliun
Segera proses tu si Bahlil....,proses bahlil
"Enggk konsepya gimana iya, semuwat yang di urus pemerintah ko semua gk ada untung mlah rugi, kan aneh, padahal kalo di nalar kita tu gk kerja udah di gaji kalo semuwa gk di katakan rugi",enggk konsepya gimana iya semuwat urus perintah untung mlah rugi aneh nalar kerja gaji semuwa rugi
Sehat selalu Pak Prabowo. Singkirkan semua tikus tikus negara yang ada dikementrian ..Bahlul bahlul,sehat prabowo singkir tikus tikus negara tri bahlul bahlul
"Sudahi politik balas Budi mu pak presiden, kami tau Bahlil adalah ketua dari partai yang mengusungmu di pemilu, tapi memperkerjakan orang yang tidak berkompeten hanya akan merugikan masyarakat dan negara !!",sudah politik balas budi presiden tau bahlil ketua partai usung milu kerja orang kompeten rugi masyarakat negara
"tolong pecat si bahlil, maen belakang dia pak",tolong pecat bahlil maen
Banyak bacot DOANG GAK TEGAS,bacot doang
Bahlullll,bahlullll
"Bahlil : kegedean kocak, gw kan bilang 200triliun aja (sambil colek)",bahlil gede kocak bilang triliun colek
Gestur koruptor,gestur koruptor
"Udh Allah nampak kan sifat asli pemimpin/pejabat yang dzolim😊 tinggal tunggu waktu nya aja, bersabarlah😇",allah nampak sifat pemimpinpejabat dzolim tinggal tunggu sabar
Bahlil merasa bersalah kasih kode sm Roslan 😅😅 orang ini pasti koruptor tangkap saja 👍👍,bahlil salah kasih kode roslan orang koruptor tangkap
"Wes, bagikan aja , sampai semua nusantara tau",wes bagi nusantara tau
Ayooo ramaikan pecat di bahlul gaess,ayooo ramai pecat bahlul gaess
Nyata banget mrk maling..pengkhianat.,nyata mrk malingpengkhianat
Harus dikawal ketat paspampres kalau ada orang2 ini..jauhkan dr presiden.,kawal ketat paspampres orang inijauhkan presiden
"Tuuui pak prabowo ...si bahlil pecat  ...
Rugi klo lama"" si bahlil g di pecat",tuuui prabowo bahlil pecat rugi klo bahlil pecat
Firal kan bolo,firal bolo
Si Hitam pasti terlibat.,hitam libat
"mungkin, si bahlul mau bilang... jangan lupa bagi2 bro",bahlul bilang lupa
"Bahlil ni benalu negara, gak tau malu.",bahlil benalu negara tau malu
Kpk harus mendalami...,kpk dalam
Bahlil ini bahaya sekali😊,bahlil bahaya
FIX ITU,fix
Udh pak periksa aja semua Klo emang niat membersihkan.   Jadi perbanyak tindakan nyata dari pada ucapan. 🙏. Sehat selalu bapak presiden,periksa klo niat bersih banyak tindak nyata ucap sehat presiden
Itu mah dah jelas bahlil ngasih kode.emang seperti ini orang kalau dah merasa gelisah,mah bahlil ngasih kodeemang orang gelisah
"Mampus,siap2 kau bahlil,,penghianat presinden dianya,dia itu bunglon,pura2 sperti malaikat di depan pak presiden tpi sebnrnya dia itu penghianat,Pak Prabowo harus segerah copot bahlil,sebarkan sebanyk2nya video ini.",mampussiap kau bahlilpenghianat presinden dianyadia bunglonpura sperti malaikat presiden tpi sebnrnya penghianatpak prabowo gerah copot bahlilsebarkan sebanyknya video
Tolong itu si bahlul harus di pecat,tolong bahlul pecat
Kenapa Bahlil grayangan celana orang sebelahnya😂,bahlil grayangan celana orang belah
Muka muka maling,muka muka maling
"Ciduk tuh Pak Presiden yg lg colak colek tuh,,,si buluk",ciduk presiden colak colek tuhsi buluk
😂😂 c bahlul dh ketakutan😂😂,bahlul takut
Kayak cuma bercanda.. Kok pak prabowo pertahankan orang ini,canda prabowo tahan orang
Copot semua menteri menteri Jokowi hanya merusak pertumbuhan ekonomi Indonesia,copot menteri menteri jokowi rusak tumbuh ekonomi indonesia
bahaya ini bahlull,bahaya bahlull
Mati kita nih kata B sambil colek colek sebelah😅😅😅,mati colek colek belah
"Segera pecat bahlil , sangat berbahaya",pecat bahlil bahaya
Pak itu si monyet dibelakang kepanikan😂,monyet belakang panik
"Dalam hati yg colek menyolek, yah omon2 lagi",hati colek solek omon
Bahkit tll pecat,bahkit tll pecat
Bahlul itu banyak makan uang korup yakin itu Prabowo aja gak berani karna temanya banyak,bahlul makan uang korup prabowo berani tema
"Negara kaga bisa apa apa sama Bahlil. 
Puyeng liatnya bgini aja",negara kaga bahlil puyeng liat bgini
Lill....... bahlil.... 😂😂 kok bisa Tidak d pecat Lil....,lill bahlil pecat lil
Pasti korup itu si bahlul,korup bahlul
Muka ketek😂,muka ketek
"Sudah jelas seperti itu aja , presiden gak berani nindak , negara permainan indonesia",presiden berani nindak negara main indonesia
"Pecat Mentri ESDM Bahlil , periksa kekayaan nya KPK gercep ???",pecat tri esdm bahlil periksa kaya kpk gercep
Udah Pak Presiden Prabowo pecat menteri menteri yang korupsi dan merugikan Negara dan Rakyat... Jangan Bimbang lagi demi Kemakmuran rakyat Indonesia,presiden prabowo pecat menteri menteri korupsi rugi negara rakyat bimbang makmur rakyat indonesia
kayak nya sudah waktunya pakek rompi orange ni bahlil,pakek rompi orange bahlil
Sperti  Mimpi Di Alam Barzah,sperti mimpi alam barzah
Bahlil lg sange ke bos danantara 😅,bahlil sange bos danantara
Hati hati copet,hati hati copet
"itu tangan ycolek "" kode apa yaa",tangan ycolek kode yaa
Tung Tung Tung Sahur,tung tung tung sahur
"Terciduk 😂
Apakah presiden Prabowo akan melihat video ini???",ciduk presiden prabowo video
"Njjiiiiiiiiiir Bahlil Suka Lawan Jenis Ternyata. Hati"" yg di sampingnya 😂😂",njjiiiiiiiiiir bahlil suka lawan jenis hati samping
"SEGERA !!! 
Jika DPR tidak mau menyetujui RUU perampasan Asset maka DPR harus di Bubarkan, Krn Hanya koruptor yg takut di ambil assetnya.

Pecat pejabatnya dan bubarkan partainya yg tidak mau mendukung UU perampasan asset koruptor

Vonis mati juga para koruptor🤢🤮

BELAJARLAH KALIAN DARI NEPAL!!!",dpr tuju ruu ampas asset dpr bubar krn koruptor takut ambil assetnya pecat jabat bubar partai dukung ampas asset koruptor vonis mati koruptor bajar nepal
"Gelisah itu peliharaan mulyono, hukum mati aje pak si bahlil taik",gelisah pelihara mulyono hukum mati aje bahlil taik
Karan sudah terlalu kenyang lama² muntah jg,karan kenyang muntah
Lihat tahan si bahlil pencuri duit negara. Dia ketakutan dgn bos DANANTARA.pak prabowo.buat UU hukuman mati bagi orang yg korupsi .biar aman gak ada lagi para pencuri pencuri. Duit. Dan bapak pilih orang yg betul betul takut Allah. Jgn preman yg diangkat jadi Mentri .bapak kan mantan Kopasus. Mana darah bapak itu.,lihat tahan bahlil curi duit negara takut dgn bos danantarapak prabowobuat hukum mati orang korupsi biar aman curi curi duit pilih orang takut allah jgn preman angkat tri mantan kopasus darah
"Jika semua kerugian negara dan perampasan kekayaan koruptor diambilalih negara, maka ini bisa digunakan untuk bayar utang negara.",rugi negara ampas kaya koruptor diambilalih negara bayar utang negara
Pecat dan miskinkan si bahluk pak wo...,pecat miskin bahluk
Mau lht dia pk baju orange..😂,lht baju orange
Ini presiden sedang berpidato Pak.. bukan kepala sekolah.. kok bisa ada kode/sandi pake tangan..Peka sedikit Pak. Paspampres nya apa ga mendeteksi?,presiden pidato kepala sekolah kodesandi pake tanganpeka paspampres deteksi
Lo..... Lo.... Lo.... Lo..... Tangannya ngasih kode apa'an tuh..... 😉😂,tangan ngasih kode
Ini pak Prabowo bisa di tag ngga 😅 supaya beliau liat dan langsung tanyain ke bahlil tu apaan colek colek,prabowo tag beliau liat langsung tanyain bahlil colek colek
Homo njir pegang apa dia tuh coba ??,homo njir pegang coba
"Pecat aja bahiil  ,,pak presiden",pecat bahiil presiden
Mentri paling menyusahkan rakyat,tri susah rakyat
Klihatan punya niat jahat ny bahlil,klihatan niat jahat bahlil
"Sekelas menteri modelnya gini amat, kayak orang yg suka gosip sirik dan iri dengki cubit sana cubit sini sebelahnya🤦",kelas menteri model gin orang suka gosip sirik iri dengki cubit cubit belah
Bahlil ketar ketir.cari2 teman buat backup,bahlil ketar ketircari teman backup
Bahaya gak tu?,bahaya
Vombbbv,vombbbv
Musuh pak Prabowo ternyata gak jauh2 dari dalam kabinetnya sendiri.,musuh prabowo kabinet
Iihhh ..... Koq seperti nya 😅😅😅,iihhh koq
Suka colak colek ya....🤮🤮🤮,suka colak colek
"Era Mulyono masih dipake aja...
Gasss pecat saja demi kemajuan bangsa..
Kasian rakyat indonesia...
Negara sekaya ini kekayaanya hanya dinikmati oknum2 penghianat",era mulyono dipake gasss pecat maju bangsa kasi rakyat indonesia negara kaya kekayaanya nikmat oknum penghianat
"Maju terus Pk, para leluhur, wali2, aulia2 sudah terlalu bosan dengan budaya mereka 💪💪🤝",maju leluhur wali aulia bosan budaya
Tatapan mata.nya itu terkesan  seorang tipu muslihat,tatap mata kes tipu muslihat
300T kalau dibelikan pesawat tempur rafalle sudah dapat 200 unit itu.,beli pesawat tempur rafalle unit
"sedikit sedikit telah tuhan tampakan ,betapa jahat nya mentri titipan mulyono 😂😂😂",tuhan tampak betapa jahat tri titip mulyono
Jika tidak bisa kelola sampai rugi 300T tutup saja sudah PAK..,kelola rugi tutup
Terimakasiiii buat video nyaa.setidaknya terlihat ada apanya😂jadiii bukti..knpa si ni orang gk dipecat aja.,terimakasiiii video nyaasetidaknya apanyajadiii buktiknpa orang pecat
Biangnya Bahlul ajg,biang bahlul ajg
Mimik muka menjengkelkan😂,mimik muka jengkel
mnta di sokdok kali dia 😂,mnta sokdok
Tnpa suara dia tunjukan siapa dirinya sendiri.dsr maling. 😂,tnpa suara tunjuk sendiridsr maling
Sekarang tinggal tindakannya berani apa kaga ...apa cuman omon2 doang,tinggal tindak berani kaga cuman omon doang
Kita tunggu saja panggilan klarifikasi,tunggu panggil klarifikasi
Tangkap pak presiden yg kutip rugi negara,tangkap presiden kutip rugi negara
"Ganti segera pak. Prabowo.. 
Manusia yg tidak turut sama kebijakan bapa, benalu dalam kabinet",ganti prabowo manusia bijak bapa benalu kabinet
Goblin pencurinya tu bahlul 🧟🧟🧟😅😅😅,goblin cur bahlul
Apa yg merasukimu bahlul 😂,rasuk bahlul
"Bravo nitijen
Ganyang bahlul koplo",bravo nitijen ganyang bahlul koplo
SI BAHLUL INI DEFINISI JELEK BANYAK TINGKAH !!!,bahlul definisi jelek tingkah
Ternyata ada iblis nguping.. leader kupingnya hrs tajem dr mulut bosq,iblis nguping leader kuping hrs tajem mulut bosq
"Harus segera dipecah si Bahlil Bin Dongok pak, supaya negara ini aman.",pecah bahlil bin dongok negara aman
Belum tentu juga kalo dipegang pemerintah bisa hasilin 300 T. Bisa2 cuma hasilin 10 T aja dah bangga.,pegang perintah hasilin hasilin bangga
bahlil sgne kayanya,bahlil sgne kaya
"bahlil kamu angkat kaki di indonesia,,jgn sampe rakyat marah cari kamu,,ini wajar pemimpin yg tegas buat rakyat nya,,bukan demi ke kuasaan kalian",bahlil angkat kaki indonesiajgn sampe rakyat marah cari kamuini wajar pimpin rakyat nyabukan kuasa
"ketaaun si bahlul dan si rosani dari tambang merugikan uang negara....300T, colek colek konco nya pren kita ketauu sama presiden gk bisa korupsi lagi😅😂",ketaaun bahlul rosani tambang rugi uang negarat colek colek konco pren ketauu presiden korupsi
